model,periods,gross_bps,net_bps,turnover,sharpe_per_bar,sharpe_annual,t_stat_net,cumulative_net,max_drawdown,losing_bars,breakeven_bps
lstm,74,0.1802666670034528,-6.70689549515871,1.3774324324324325,-1.4307441503923268,-140.00838552562735,-12.307726555593348,-0.0484430226396424,-0.04802152722629516,0.9594594594594594,0.1308715133744286
attention_lstm,74,-0.008654278187620844,-5.425320944854288,1.0833333333333333,-1.369464825341807,-134.01177224989195,-11.780581869363944,-0.03936812286101565,-0.03867041140119443,0.9324324324324325,-0.007988564480880781
