,value
names_per_rebalance,59.77570093457944
share_positions_liquid,0.6757348342714197
share_panel_liquid,0.8907467145513197
corr_prediction_prev_return,-0.5225183949867921
mean_prev_return_longs_bps,-102.97444915771484
mean_prev_return_shorts_bps,111.6839599609375
