cost_bps,periods,gross_bps,net_bps,turnover,sharpe_per_bar,sharpe_annual,t_stat_net,cumulative_net,max_drawdown,losing_bars,breakeven_bps
5,107,17.40995996604194,8.67130938159696,1.747730116888995,0.5228774803650689,51.1672417696392,5.408686713390114,0.09701984587633805,-0.005776046157922821,0.2523364485981308,9.96146933545559
10,107,17.40995996604194,-0.06734120284801684,1.747730116888995,-0.004026993915281095,-0.39406969893633814,-0.04165554896201794,-0.0008684090348879403,-0.012205146071887496,0.48598130841121495,9.96146933545559
15,107,17.40995996604194,-8.805991787292994,1.747730116888995,-0.521656839228422,-51.04779344283581,-5.39606030329307,-0.09009668986283381,-0.09213956776352028,0.7476635514018691,9.96146933545559
20,107,17.40995996604194,-17.54464237173797,1.747730116888995,-1.0285064911807293,-100.64659938910492,-10.638953870418645,-0.17142450759186145,-0.17287215617925866,0.8504672897196262,9.96146933545559
30,107,17.40995996604194,-35.02194354062792,1.747730116888995,-2.0048458720147364,-196.1882798483096,-20.738286955464634,-0.31309233570184447,-0.31360727535363475,0.9626168224299065,9.96146933545559
