strategy,periods,gross_bps,net_bps,turnover,sharpe_per_bar,sharpe_annual,t_stat_net,cumulative_net,max_drawdown,losing_bars,breakeven_bps
"plain decile, rebalance every bar",107,4.227385626876062,-3.2226423402960767,1.4900055934344278,-0.7788821403086453,-76.21909965485848,-8.056819507015163,-0.0339086744595285,-0.03357628019483072,0.8130841121495327,2.8371609110084193
"execution-aware (q=0.02, no-trade zone=0.75, rho=1.00)",107,21.30637599644107,12.683537016473714,1.7245677959934715,0.5947729476993165,58.20271929042325,6.152379210248498,0.14498022202096128,-0.005211678342326165,0.27102803738317754,12.35461780391597
